experiment,condition,K,DNI,R,baseline_org
heterogeneity,1.6,0.010000,0.048608,0.297967,6.070206
heterogeneity,1.6,0.020000,0.350398,0.355829,6.103427
heterogeneity,1.6,0.030000,-0.198145,0.344588,6.217383
heterogeneity,1.6,0.050000,0.329714,0.285508,6.217255
heterogeneity,1.6,0.070000,0.193029,0.420755,5.716792
heterogeneity,1.6,0.100000,-0.027601,0.427279,5.757122
heterogeneity,1.6,0.150000,0.508592,0.420547,6.330739
heterogeneity,1.6,0.200000,-0.210898,0.520656,6.068399
heterogeneity,1.6,0.300000,0.270152,0.435365,5.927890
heterogeneity,1.6,0.500000,0.283340,0.504892,5.993647
heterogeneity,1.6,0.800000,1.264431,0.891943,6.308652
heterogeneity,1.6,1.000000,1.047962,0.944281,6.237648
noise,0.0,0.000000,-0.159711,0.302274,6.457413
noise,0.0,0.001000,-0.066764,0.319722,6.459707
noise,0.0,0.005000,-0.422230,0.230767,6.448335
noise,0.0,0.010000,0.482493,0.367341,6.467184
noise,0.0,0.020000,-0.477868,0.444116,6.513391
noise,0.0,0.030000,-0.218719,0.247463,6.428469
noise,0.0,0.050000,-0.605037,0.345186,6.469429
noise,0.0,0.070000,-0.026303,0.315218,6.471530
noise,0.0,0.100000,0.413864,0.356568,6.387514
noise,0.0,0.150000,0.048443,0.463874,6.436548
noise,0.0,0.200000,0.690225,0.745742,6.559654
noise,0.0,0.300000,1.148315,0.925295,6.523835
noise,0.0,0.500000,0.993583,0.967820,6.568948
noise,0.0,0.800000,1.233037,0.989333,6.777779
noise,0.0,1.000000,1.109572,0.991599,6.693597
noise,0.001,0.000000,-0.158585,0.302376,6.457318
noise,0.001,0.001000,-0.055248,0.320229,6.459430
noise,0.001,0.005000,-0.425089,0.231117,6.450568
noise,0.001,0.010000,0.487996,0.366796,6.467592
noise,0.001,0.020000,-0.485143,0.443841,6.511920
noise,0.001,0.030000,-0.215778,0.248244,6.427640
noise,0.001,0.050000,-0.606293,0.344496,6.470258
noise,0.001,0.070000,-0.025461,0.315331,6.475339
noise,0.001,0.100000,0.406372,0.355298,6.383343
noise,0.001,0.150000,0.064354,0.463449,6.437755
noise,0.001,0.200000,0.692673,0.745859,6.560159
noise,0.001,0.300000,1.149402,0.925348,6.524044
noise,0.001,0.500000,0.993284,0.967820,6.568785
noise,0.001,0.800000,1.232607,0.989328,6.777026
noise,0.001,1.000000,1.108685,0.991585,6.694020
noise,0.005,0.000000,-0.156736,0.302790,6.456649
noise,0.005,0.001000,-0.020197,0.322291,6.453183
noise,0.005,0.005000,-0.430589,0.232583,6.454367
noise,0.005,0.010000,0.507564,0.364551,6.462428
noise,0.005,0.020000,-0.508517,0.442682,6.516656
noise,0.005,0.030000,-0.201489,0.251321,6.430705
noise,0.005,0.050000,-0.610972,0.341693,6.469733
noise,0.005,0.070000,-0.023000,0.315960,6.482625
noise,0.005,0.100000,0.369991,0.352078,6.388566
noise,0.005,0.150000,0.135594,0.460998,6.441173
noise,0.005,0.200000,0.703491,0.746399,6.553587
noise,0.005,0.300000,1.153735,0.925545,6.524621
noise,0.005,0.500000,0.992073,0.967809,6.565944
noise,0.005,0.800000,1.230884,0.989301,6.772847
noise,0.005,1.000000,1.105120,0.991527,6.696216
noise,0.01,0.000000,-0.158274,0.303296,6.459172
noise,0.01,0.001000,0.008904,0.324761,6.454040
noise,0.01,0.005000,-0.432574,0.234549,6.445923
noise,0.01,0.010000,0.519165,0.361610,6.454044
noise,0.01,0.020000,-0.536968,0.441119,6.507961
noise,0.01,0.030000,-0.180730,0.255057,6.427010
noise,0.01,0.050000,-0.616596,0.338181,6.463037
noise,0.01,0.070000,-0.011910,0.317163,6.478502
noise,0.01,0.100000,0.319024,0.350642,6.386674
noise,0.01,0.150000,0.189781,0.455900,6.443251
noise,0.01,0.200000,0.719720,0.747200,6.540267
